service_name,category_tree
"Piega Babyliss, piastra frisè o onde (non è compreso lo Shampoo)",Femminile > Capelli Corti  > Senza Taglio
Taglio femminile ,Non Prenotabili
Acconciatura Alta,Femminile > Capelli Medi > Senza Taglio
Trattamento Ricostruzione,Non Prenotabili
Permanente Lunghi,Non Prenotabili
 Stiraggio ,Non Prenotabili
Degradè,Non Prenotabili
Colore ,Non Prenotabili
tonalizzante,Non Prenotabili
degradè ritocco,Non Prenotabili
Depilazione Gambe e inguine,Estetica
Depilazione Inguine,Estetica
Depilazione Braccia,Estetica
Manicure,Estetica
Pedicure,Estetica
Viso,Estetica
Trattamento Pulizia Cute,Non Prenotabili
Meches,Non Prenotabili
Balayage,Non Prenotabili
Stiraggio,Non Prenotabili
Prove Acconciature Sposa,Sposa
Ritocco colore,Non Prenotabili
Pulizia Viso,Estetica
Depilazione Petto,Estetica
Depilazione Spalle,Estetica
Depilazione ascelle,Estetica
Acconciatura Alta,Femminile > Capelli Lunghi > Senza Taglio
"Piega Babyliss, Friseè , onde  (non è compreso lo Shampoo)",Femminile > Capelli Medi > Senza Taglio
"Piega Babyliss, Friseè , onde (non è compreso lo Shampoo)",Femminile > Capelli Lunghi > Senza Taglio
stiraggio maschile,Non Prenotabili
Permanente Corti,Non Prenotabili
2 tagli bimbi,Maschile > CAPELLI CORTI
3 tagli bimbi,Maschile > CAPELLI CORTI
fissaggio,Non Prenotabili
meches capelli corti,Non Prenotabili
Shampoo + Taglio capelli lunghi,Maschile > CAPELLI LUNGHI
Shampoo e Rasatura,Maschile > CAPELLI CORTI
Riflessantee,Maschile > CAPELLI CORTI
Pettinata,Maschile > CAPELLI CORTI
colore maschile,Non Prenotabili
Taglio maschile,Non Prenotabili
Visita tricologica,Visita tricologica 
Labbro,Depilazione
Sopracciglia,Depilazione
Ceretta Viso,Depilazione
Ceretta Ascelle,Depilazione
Ceretta Braccia,Depilazione
Ceretta Inguine parziale ( solo laterali),Depilazione
Ceretta Inguine Totale,Depilazione
Ceretta Gamba Parziale (senza inguine),Depilazione
Ceretta Gambe Parziale + inguine parziale,Depilazione
Ceretta Gambe Parziale + Inguine Totale,Depilazione
Ceretta Gamba Intera (senza inguine),Depilazione
Ceretta Gamba Intera + Inguine parziale,Depilazione
Ceretta Gamba Intera + Inguine Totale,Depilazione
Ceretta Gamba Intera Uomo + laterali inguine,Depilazione
Ceretta Braccia Uomo,Depilazione
Ceretta Spalla Uomo,Depilazione
Ceretta Petto Uomo,Depilazione
Manicure (compreso di smalto classico),Mani e Piedi
Applicazione Smalto Classico,Mani e Piedi
Smalto Semipermanente mani,Mani e Piedi
Pedicure Estetico,Mani e Piedi
Smalto Semipermanente Piedi,Mani e Piedi
Applicazione Ciglia Finte,Ciglia
Laminazione Ciglia,Ciglia
Pulizia Viso ,Trattamenti Viso
Antiage Viso,Trattamenti Viso
Vitamina C viso,Trattamenti Viso
Idratante viso,Trattamenti Viso
Fango + Massaggio gambe,Trattamenti Corpo
Bendaggio caldo + Massaggio Gambe,Trattamenti Corpo
Bendaggio Freddo + Massaggio Gambe,Trattamenti Corpo
Peeling  e Massaggio Corpo,Trattamenti Corpo
Massaggio Drenante Gambe + Pancia,Massaggi
Massaggio Relax  Corpo,Massaggi
Massaggio Neuromuscolare,Massaggi
Candel Massage,Massaggi
Massaggio Ayurvedico,Massaggi
Wind Sfere Message,Massaggi
Stone Massage,Massaggi
Trucco giorno/sera,Trucco
Trucco Sposa,Trucco
Trucco Bimbi Carnevale,Trucco
Gambaletto,Laser a Diodo
Coscia,Laser a Diodo
Gamba Completa,Laser a Diodo
Inguine Completo/Glutei,Laser a Diodo
Addome/Lombare,Laser a Diodo
Braccia,Laser a Diodo
Ascelle,Laser a Diodo
Schiena/Petto Superiore,Laser a Diodo
Baffetto/Mento,Laser a Diodo
Viso Completo,Laser a Diodo
Solarium Viso e Corpo,Solarium
Solarium Viso ,Solarium
Ultrasuoni  gambe  + Massaggio drenante,Trattamenti Corpo
Trattamento ultrasuoni  pancia con massaggio drenante localizzato,Trattamenti Corpo
Pedicure curativo /meccanico,Mani e Piedi
